I,k,lot,hit,ws,rh,ap,moonlight,toy
1,1,8,13,9,83,1025,7.5,1
1,2,6,13,7.5,91,1021,3.1,1
1,3,8,14,6.5,89.5,1020,0.6,1
1,4,16,18,29.5,95.5,1010,0.1,1
2,1,15,21,8,63.5,1032,12.5,2
2,2,14,20,11,63.5,1031,19.6,2
2,3,14,20,8.5,66.5,1030,27.8,2
2,4,13,20,10.5,70,1026,37,2
2,5,14,19,8.5,77.5,1025,46.7,2
2,6,15,21,8,74,1024,56.8,2
2,7,12,21,7,83,1018,66.9,2
3,1,12,13,15,90,1012,99.9,1
3,2,10,13,20.5,74.5,1020,99.3,1
3,3,9,12,9.5,89,1024,96,1
3,4,7,13,8,94.5,1026,90.3,1
4,1,19,21,15,93,1015,12.6,2
4,2,17,20,13,71,1030,19.6,2
4,3,17,20,13,70,1029,27.9,2
4,4,17,20,8,65,1026,37,2
4,5,13,19,8,70,1026,46.7,2
4,6,15,20,8,70,1025,56.8,2
4,7,15,20,6,76,1020,66.9,2
